id,framework,level,sprint,data_source,scenario,input_threads,expected_output,challenge,pass_criteria,notes
R4-A-L1-01,Supplier Entity Resolution,L1,S1,fully-synthetic,"Same supplier, 2 name variants, single thread","=== THREAD 1: Supplier Group (Ashish + Staff 1 + Supplier) ===
[24 Mar 09:00] Staff 1: Sharma ji aaj tandoor deliver karenge kya?
[24 Mar 09:15] Supplier: haan bhai, dopahar tak aa jayega
[24 Mar 10:30] Ashish: Sharma bhai confirm kar lo exact time","Single supplier entity: Sharma (Supplier). One delivery task: Confirm exact delivery time today.","Same supplier referred to as 'Sharma ji' (by Staff 1) and 'Sharma bhai' (by Ashish) in same thread. Agent must resolve both to one entity.","PASS: Single supplier entity record created. FAIL: Two separate supplier records for 'Sharma ji' and 'Sharma bhai'.",Validate naming conventions with Ashish
R4-A-L1-02,Supplier Entity Resolution,L1,S1,fully-synthetic,"Same supplier, company name vs proprietor name, single thread","=== THREAD 1: Supplier Group (Ashish + Staff 1 + Supplier) ===
[24 Mar 11:00] Staff 1: S.K. Enterprises se maal kab aayega?
[24 Mar 11:10] Ashish: Suresh ji se directly poochho
[24 Mar 11:20] Staff 1: Suresh ji bola kal subah tak","Single supplier entity: Suresh / S.K. Enterprises. One delivery task: Maal expected tomorrow morning.","Company name (S.K. Enterprises) and proprietor name (Suresh ji) used interchangeably in same thread.","PASS: Single supplier entity. FAIL: Separate records for 'S.K. Enterprises' and 'Suresh ji'.",Company + proprietor name variant - common in Indian SME context
R4-A-L2-01,Supplier Entity Resolution,L2,S1,fully-synthetic,"Same supplier, 2 name variants across 2 threads","=== THREAD 1: Supplier Group (Ashish + Staff 1 + Sharma Supplier) ===
[24 Mar 09:00] Staff 1: Sharma ji kal deliver karenge tandoor

=== THREAD 2: All Staff Group ===
[24 Mar 14:00] Staff 1: Sharma bhai ka maal kal aayega, koi ghar pe rehega?","Single supplier entity: Sharma. Cross-thread delivery task: Tandoor delivery tomorrow — ensure someone present for collection.","Same supplier referred to differently across two separate groups. Agent must unify across threads.","PASS: Single supplier entity linked across both threads, one unified delivery task. FAIL: Separate supplier records or separate unlinked tasks.",Cross-thread entity resolution baseline test
R4-A-L2-02,Supplier Entity Resolution,L2,S1,fully-synthetic,"Same supplier, honorific vs product-based reference across 2 threads","=== THREAD 1: Supplier Group ===
[24 Mar 10:00] Ashish: Delhi wale se rate confirm hua?

=== THREAD 2: All Staff Group ===
[24 Mar 10:30] Staff 1: Kapoor ji ne 47000 bola hai tandoor ka","Single supplier entity: Kapoor / Delhi wala supplier. Task: Rate confirmed at 47000 — awaiting final decision.","Product/city-based nickname ('Delhi wala') in one thread, name+honorific ('Kapoor ji') in another.","PASS: Single supplier entity. FAIL: 'Delhi wala' and 'Kapoor ji' treated as two different suppliers.",Flag for Ashish validation — confirm if 'city wala' references are common
R4-A-L3-01,Supplier Entity Resolution,L3,S1,fully-synthetic,"Same supplier, 3-4 variants across 3 threads","=== THREAD 1: Client Group ===
[24 Mar 09:00] Ashish: Tandoor supplier se confirm karo delivery

=== THREAD 2: Supplier Group ===
[24 Mar 10:00] Staff 1: Sharma ji kal tak denge
[24 Mar 10:05] Supplier: haan confirmed

=== THREAD 3: All Staff Group ===
[24 Mar 15:00] Staff 2: S. Sharma & Co. ka maal kal aayega, packaging ready rakhna","Single supplier entity: Sharma / S. Sharma & Co. Tasks: Delivery confirmed for tomorrow — packaging to be prepared.","Three different references across three threads: product-type reference, name+honorific, formal company name.","PASS: All three references resolved to single supplier entity. FAIL: Any variant creates a duplicate record.",Most realistic L3 scenario — three reference styles in one day
R4-B-L1-01,Army Client Entity Resolution,L1,S1,fully-synthetic,"Same Army unit, formal unit name vs officer reference, single thread","=== THREAD 1: Client Group (Ashish + Staff 1 + Client) ===
[24 Mar 09:00] Ashish: 51 Sub Area ka order confirm hua?
[24 Mar 09:15] Staff 1: haan, Colonel sahab ne approve kar diya
[24 Mar 09:20] Ashish: achha, Colonel sahab ko delivery date confirm karo","Single client entity: 51 Sub Area (Colonel). Task: Confirm delivery date with client.","Formal unit name ('51 Sub Area') and officer reference ('Colonel sahab') used in same thread for same client.","PASS: Single client entity. FAIL: '51 Sub Area' and 'Colonel sahab' treated as separate entities.",Army naming conventions to be validated with Ashish
R4-B-L1-02,Army Client Entity Resolution,L1,S1,fully-synthetic,"Same Army unit, location reference vs unit number, single thread","=== THREAD 1: Client Group ===
[24 Mar 11:00] Staff 1: Tezpur unit ko kal deliver karenge
[24 Mar 11:10] Ashish: 51 Sub Area Tezpur ka order complete hai?","Single client entity: 51 Sub Area Tezpur. Task: Delivery to Tezpur unit tomorrow.","Location-based reference ('Tezpur unit') vs formal unit name ('51 Sub Area Tezpur') in same thread.","PASS: Single client entity. FAIL: 'Tezpur unit' and '51 Sub Area Tezpur' treated as separate clients.",Validate with Ashish — are location-based references common?
R4-B-L2-01,Army Client Entity Resolution,L2,S1,fully-synthetic,"Same Army unit, 2 reference styles across 2 threads","=== THREAD 1: Client Group (Ashish + Staff + Client) ===
[24 Mar 09:00] Colonel sahab: bhai jaldi karo delivery, next week hum move kar rahe hain

=== THREAD 2: All Staff Group ===
[24 Mar 10:00] Staff 1: 51 Sub Area urgent hai, kal tak deliver karna hai","Single client entity: 51 Sub Area (Colonel). Urgent task: Delivery must happen tomorrow — unit relocating next week.","Officer reference in client group, formal unit name in staff group. Cross-thread entity resolution.","PASS: Single client entity linked across threads, urgency flag captured. FAIL: Two separate client records.",Unit relocation context adds urgency — agent should also flag relocation as risk to payment timeline
R4-B-L3-01,Army Client Entity Resolution,L3,S1,fully-synthetic,"Same Army unit, 3 reference styles across 3 threads","=== THREAD 1: Client Group ===
[24 Mar 09:00] Ashish: Brigadier sahab ka order ready hai?

=== THREAD 2: All Staff Group ===
[24 Mar 10:00] Staff 1: Eastern Command walo ka maal pack ho gaya

=== THREAD 3: Internal Ops Group ===
[24 Mar 14:00] Staff 2: HQ Eastern Command delivery kal subah schedule karo","Single client entity: HQ Eastern Command (Brigadier). Task: Delivery scheduled for tomorrow morning.","Three reference styles: officer rank, informal location reference, formal unit name. Across three threads.","PASS: All three references resolved to single client entity. FAIL: Any variant creates duplicate record.",Validate HQ Eastern Command naming conventions with Ashish
R3-C-L1-01,Order Conflation,L1,S1,fully-synthetic,"Two tandoor orders, clearly different clients, separate threads","=== THREAD 1: Client A Group ===
[24 Mar 09:00] Client A: 2 tandoor chahiye, kal tak milega?
[24 Mar 09:10] Ashish: haan, confirm karte hain

=== THREAD 2: Client B Group ===
[24 Mar 10:00] Client B: ek tandoor order karna tha
[24 Mar 10:10] Ashish: rate bhej raha hoon","Two separate parent tasks: Tandoor order for Client A (2 units, urgent) and Tandoor order for Client B (1 unit, quotation stage). Different clients, different quantities, different stages.","Same item (tandoor) ordered by two different clients on same day. Agent must keep as two separate orders.","PASS: Two separate parent task records, each linked to correct client. FAIL: Tasks merged into one tandoor order or cross-attributed.",Foundational order separation test
